Tm_C,GC_percent
85.354,50.82
83.391,47.47
84.912,50.32
85.002,50.31
84.598,50.20
85.912,53.65
85.487,51.19
82.672,49.12
84.966,49.67
85.354,50.83
86.855,55.22
85.800,52.31
80.927,48.09
86.006,53.68
85.562,52.24
85.323,51.92
85.219,51.65
85.928,52.53
85.053,51.49
87.634,55.82
86.299,53.08
84.133,49.91
85.181,52.01
85.814,52.39
83.820,47.66
86.016,52.68
85.299,51.12
86.624,53.62
86.710,55.34
86.670,55.18
87.888,57.50
85.722,52.50
85.794,53.82
80.961,42.22
82.686,45.73
84.315,49.03
83.512,48.85
83.185,47.52
83.252,46.39
83.817,49.17
84.866,50.18
86.820,54.24
86.314,53.09
85.744,52.15
85.126,50.34
85.294,52.66
83.090,54.17
85.010,51.67
85.820,51.96
82.417,46.36
86.229,53.60
83.353,48.24
83.483,47.94
85.988,52.20
83.294,48.55
86.219,52.80
85.046,52.72
84.598,50.53
86.047,55.56
85.727,55.97
85.732,52.21
84.083,52.69
81.988,46.67
84.502,50.30
82.487,44.51
80.007,43.62
84.795,49.19
78.041,40.62
78.032,40.74
76.701,37.63
79.044,38.72
78.419,45.74
80.285,48.08
81.348,45.83
79.108,43.23
82.191,46.27
80.750,44.69
84.297,51.17
82.032,45.39
86.171,53.39
85.292,51.94
85.774,53.05
82.581,47.10
78.118,34.37
79.617,47.83
83.097,52.11
86.007,53.05
85.018,53.49
80.169,41.67
79.545,37.73
83.100,51.25
80.975,42.01
87.284,55.48
85.028,54.13
85.654,53.15
82.932,49.21
85.793,54.10
85.739,59.68
79.839,50.88
85.902,54.31
78.647,39.56
83.229,52.66
82.657,49.28
84.435,51.97
86.995,58.62
88.438,58.48
80.513,44.86
86.256,52.93
84.615,56.04
87.743,56.75
89.253,60.49
85.934,56.03
83.870,52.43
86.281,54.76
85.166,53.24
86.344,56.28
88.778,58.88
86.461,57.58
87.572,57.65
87.524,57.39
88.397,60.14
85.364,53.03
88.345,57.66
86.462,55.33
89.005,60.05
82.444,48.89
86.867,55.05
87.721,56.58
85.199,51.84
87.738,58.50
86.123,55.89
86.572,54.78
86.648,54.11
86.123,53.21
86.469,53.87
85.382,50.71
84.853,52.35
85.168,50.88
85.929,52.07
85.347,52.07
83.622,48.22
86.678,58.50
79.632,43.66
84.275,48.79
86.957,54.41
86.119,53.35
85.698,53.10
85.366,51.32
87.268,55.20
85.300,52.50
85.070,54.58
85.980,53.20
85.649,51.93
81.540,47.81
83.650,46.99
80.802,44.56
80.553,43.67
80.946,44.91
83.333,47.60
82.914,49.65
77.544,38.36
81.516,48.15
81.069,48.15
83.521,47.55
81.990,49.10
81.706,48.61
80.603,46.88
80.927,48.09
85.342,52.28
85.532,52.42
83.196,50.17
75.303,36.81
